target_ts_nanos,game_latency_ms,composite_latency_ms,encode_latency_ms,decode_latency_ms,network_latency_ms,decoder_queue_latency_ms,rendering_latency_ms,vsync_queue_latency_ms,total_MTP_latency_ms,enconded_frame_size_bytes,server_framerate_fps,client_framerate_fps,sending_bitrate_mbps,recving_bitrate_mbps,C,C_effective,gaze_variance_magnitude,fixation_confidence,experiment_target_timestamp
9426328188377,8.2807,1.411,3.8948002,11.021198,4.686627,0.018125,6.8455224,28.592197,64.750175,12265,68.32702,4.631886,,,188,188,,-1,20260313_174801
9426342033587,4.3334002,1.0071,4.4014,3.592084,6.056851,3.347031,5.528751,36.69786,64.96447,16797,68.32702,71.686005,,,188,188,,-1,20260313_174801
9426360618328,1.4746001,1.26,4.4243,3.1047919,2.317507,2.744636,1.428698,43.248856,60.003387,195,72.00876,71.98233,,,188,188,,-1,20260313_174801
9426402253101,4.8364,1.6113,3.7022998,3.2314591,5.761929,0.69802,1.474063,43.518913,64.83438,16789,82.05599,71.81622,,,80,80,,-1,20260313_174801
9426431185703,3.4778,1.3713,3.9356997,3.387292,4.6512427,3.26875,1.303646,43.38492,64.78065,15967,65.960884,71.82179,,,80,80,,-1,20260313_174801
9426448544440,4.1347003,1.7489,4.2653,3.3959892,6.0874557,1.485521,1.889271,41.960777,64.96792,16876,75.43071,71.826035,,,80,80,,-1,20260313_174801
9426464730718,4.6713,1.3865,3.8979,3.842917,5.363729,2.823959,1.567292,41.443344,64.99694,16640,76.9894,71.84625,,,80,80,,-1,20260313_174801
9426480293526,4.2829003,1.3385999,4.0729,4.282501,3.002372,5.862292,1.716302,40.502357,65.06023,377,67.54338,71.821556,,,80,80,,-1,20260313_174801
9426495514742,3.5506,1.7238,4.684,3.408542,5.319518,4.7154694,1.582396,39.88029,64.86462,16936,66.65378,71.81239,,,80,80,,-1,20260313_174801
9426514974242,1.6108,1.2682999,4.6475,3.422553,3.266266,5.442448,1.866459,38.854744,60.379074,2879,77.25468,71.83223,,,80,80,,-1,20260313_174801
9426525025302,3.5927,1.8371,3.835,3.196459,6.386556,5.969584,1.711562,38.406567,64.935524,18635,73.67079,71.82538,,,80,80,,-1,20260313_174801
9426539115211,5.1928,0.72980005,4.218,3.44974,3.9700792,8.021719,1.859844,37.703415,65.14539,6879,64.88914,71.82523,,,80,80,,-1,20260313_174801
9426558203277,0.7865,1.7501,4.0584,3.048646,7.59073,4.093959,1.637865,37.478626,60.444824,18802,74.027466,71.833694,,,80,80,,-1,20260313_174801
9426572582781,1.1175001,1.5979999,4.1725,3.0995831,5.353408,6.484584,1.872865,36.858414,60.55685,19680,74.027466,71.83425,,,80,80,,-1,20260313_174801
9426577204500,6.2042,1.3906,3.9285002,3.019063,8.466546,8.440001,1.816927,36.556423,69.822266,27708,70.64442,71.80284,,,80,80,,-1,20260313_174801
9426595818276,5.7111,2.0789,3.4919,2.828959,5.494977,7.55375,1.923542,36.186256,65.26938,20091,76.06819,71.840225,,,80,80,,-1,20260313_174801
9426615119286,0.6067,1.1342,4.154,4.766146,4.2031736,6.824689,1.65026,37.209045,60.548214,25196,76.06819,71.832466,,,80,80,,-1,20260313_174801
9426624321475,4.9364,1.5279,4.2257004,4.269584,6.1454706,4.949792,2.105521,37.184288,65.34465,27430,70.62296,71.81469,,,80,80,,-1,20260313_174801
9426638543795,4.3774,1.4825,3.9686003,4.208751,5.120095,7.0605206,1.720157,37.377,65.315025,31002,71.53741,71.84605,,,80,80,,-1,20260313_174801
9426652439440,3.7638,1.7579,3.5869,4.709584,6.476922,6.2297916,1.953698,36.83112,65.30971,14487,67.02952,71.81407,,,80,80,,-1,20260313_174801
9426666568184,5.6226,1.3741,5.4056997,4.459688,4.564529,5.619011,1.7494789,36.647514,65.44262,31628,69.93887,71.83618,,,80,80,,-1,20260313_174801
9426676125156,8.5646,1.3807,3.6406999,4.299636,7.481659,6.35349,2.4832811,35.718876,69.92294,30558,88.23633,71.8143,,,80,80,,-1,20260313_174801
9426694807979,4.2078996,0.99259996,4.5836,4.298699,4.4542856,8.967657,1.7661979,36.195858,65.4668,37731,68.285484,71.83743,,,80,80,,-1,20260313_174801
9426708866753,4.876,0.7832,4.2553,4.499427,5.150397,7.202137,1.9643749,36.854248,65.58509,22309,62.351913,71.82615,,,80,80,,-1,20260313_174801
9426727962464,1.3512001,1.2402,3.6126,4.560833,9.350795,1.446771,1.6593751,37.665543,60.887314,39244,89.53353,71.815216,,,80,80,,-1,20260313_174801
9426737200902,2.0415,0.6329,4.3037,4.41474,8.665704,6.326511,1.84599,37.298122,65.52917,39497,72.03937,71.83329,,,80,80,,-1,20260313_174801
9426751239254,3.7911,0.882,4.6726,4.463595,4.686905,8.338334,1.623437,37.18547,65.64344,25284,51.011036,71.82211,,,80,80,,-1,20260313_174801
9426774514293,0.9421,0.70769995,6.8444,4.759948,4.412572,0.204375,2.035157,36.48279,56.38904,52912,51.011036,71.821724,,,80,80,,-1,20260313_174801
9426797733882,0.8327,0.87520003,4.6273,4.477188,8.422562,0.022083001,1.625573,25.770124,46.652725,41478,40.8055,71.84289,,,80,80,,-1,20260313_174801
9426820216816,3.632,0.6215,7.0921,4.46151,6.559871,0.026459,2.094062,27.378256,51.865757,51287,40.11199,35.881065,,,80,80,,-1,20260313_174801
9426847650594,3.4765,0.90029997,6.0433,4.4326053,4.16912,0.045625,12.800365,20.03889,51.906708,51204,36.317547,35.912464,,,80,80,,-1,20260313_174801
9426875466482,3.0574,0.6881,5.5111,4.829792,4.607776,0.360104,1.6956259,45.0659,65.815796,57365,36.317547,23.95985,,,80,80,,-1,20260313_174801
9426912331468,0.4241,1.0389,4.2001,4.2833343,6.696016,0.02401,1.497552,38.467754,56.631763,61748,29.142792,35.91923,,,80,80,,-1,20260313_174801
9426935383104,1.7774,0.6797,6.084,4.4518228,7.743277,0.030469,1.772448,38.84221,61.38133,64074,39.72084,35.910698,,,80,80,,-1,20260313_174801
9426958634106,2.5843,0.61539996,5.9493,4.851876,5.079126,2.023073,1.3160939,43.53609,65.95526,64601,41.81913,35.91111,,,80,80,,-1,20260313_174801
9426991047153,0.3205,0.8232,6.5755,4.43375,5.205697,0.04625,1.75323,42.486973,61.645103,70815,34.116886,35.91591,,,80,80,,-1,20260313_174801
9427014251010,0.6786,0.5952,6.2055,4.8971877,4.671691,0.023334,2.222291,33.0129,52.306705,73333,42.80089,71.80957,,,80,80,,-1,20260313_174801
9427037150756,0.4099,0.9854001,5.717,4.9555206,6.165566,0.020937,1.5093759,37.231087,56.994785,56675,40.97236,35.91724,,,80,80,295.54539681731814,-1,20260313_174801
9427060232828,0.6397,0.8513,5.4231,4.63698,7.38163,0.01401,1.971823,40.569,61.487545,60340,41.74825,35.913895,,,80,65.93695,450.3904055316962,0.0024378677,20260313_174801
9427088059473,1.6449,0.79899997,6.5592003,4.630261,6.958412,0.021875,12.081095,28.916595,61.611336,98737,38.25262,35.9133,,,80,65.971245,353.1594425231625,0.00237242,20260313_174801
9427111165257,4.6479,2.0608,3.9197001,4.214636,9.68806,0.016771,1.6608851,40.244976,66.45373,60936,38.25262,35.912895,,,80,65.7967,323.9227306967316,0.002747931,20260313_174801
9427148382534,0.7123,1.3278,6.5652003,4.1012497,5.319129,0.018385,1.5943761,37.557022,57.195457,66159,30.472197,35.915154,,,80,65.59673,266.7502956597077,0.0033565755,20260313_174801
9427171489679,1.1944001,0.5812,6.7338,4.166667,10.925185,2.8873959,9.496095,39.684387,75.66913,59405,44.711723,23.940165,,,80,65.4853,220.18651145749078,0.0038292457,20260313_174801
9427194540775,0.4621,0.82339996,6.3858,4.3581257,5.164639,1.001406,2.075208,46.460644,66.73132,64703,63.64562,71.8205,,,80,65.396255,210.54968961537134,0.004314749,20260313_174801
9427208770444,2.1607,1.6465,3.9659998,4.705313,4.7157598,1.607448,1.395938,46.577515,66.77516,47115,63.64562,72.001305,,,80,65.34923,197.5780228803594,0.0046244087,20260313_174801
9427236866695,6.4341,0.8693,5.7763,4.079844,7.5368133,0.018021,9.756199,32.076767,66.54734,56573,31.242289,35.871635,13.922968,13.922872,80,65.264984,199.4361012580078,0.0053066104,20260313_174802
9427269197011,3.2248,0.8868,6.0675,4.607032,7.340068,0.015833,2.2057822,37.864735,62.212547,58575,34.007824,35.914032,,,80,65.30132,266.7459789464098,0.004989121,20260313_174802
9427292577595,2.727,0.70019996,5.5806,4.332188,4.713139,0.08427,1.586199,46.944984,66.66858,64050,44.49725,35.917736,,,80,65.505295,395.90408835125527,0.0037348834,20260313_174802
9427324993153,4.6231003,1.5611,5.9885,4.339167,7.145323,0.017708,12.070054,26.552393,62.297344,68967,43.76329,35.91051,,,80,66.61927,2934.1688067478703,0.0015739115,20260313_174802
9427348150291,5.0602,1.3723,5.5059,4.443074,5.5963926,0.017656,1.693698,29.397472,53.08669,94193,43.76329,71.68686,,,80,72.040504,4662.537047213186,0.0004124789,20260313_174802
9427375754827,5.2332997,0.8394,6.012,4.729116,9.84775,0.019322,1.775417,38.657047,67.11336,113608,36.06437,23.95912,,,80,80,7945.435921769048,0.00017006618,20260313_174802
9427403544152,2.4801,0.63780004,5.9617,4.657605,6.44712,0.110208,5.641511,41.147034,67.083084,77208,40.27175,35.91277,,,80,80,9060.335187357847,0.00012584258,20260313_174802
9427436207886,2.9849,0.6738,5.5985,4.366823,7.8402495,0.020156,1.622136,39.420452,62.527016,64382,48.01944,35.91392,,,80,80,10453.043046179237,0.00010661921,20260313_174802
9427454676638,4.8978,1.0127001,5.8153996,4.546719,4.549206,1.5903649,1.737135,47.596485,71.745804,60244,61.505913,35.911285,,,80,80,12032.596990933669,0.000095656775,20260313_174802
9427473210950,3.1653998,1.2075,4.9916,4.526979,6.0118556,0.017553,5.2870827,42.12947,67.33745,60608,61.505913,71.977936,,,80,80,13679.06655618976,0.000085792904,20260313_174802
9427501265819,3.6016,0.7794,6.1216,4.561615,8.744121,0.021771,1.754375,41.7829,67.367386,63124,35.096584,35.87331,,,80,80,15749.855043067622,0.00007089455,20260313_174802
9427529147010,6.1518,0.9857001,5.8332,4.411147,4.739041,0.022187,1.659271,43.621098,67.42344,55189,32.89398,35.917496,,,80,80,16816.824019465173,0.000061665414,20260313_174802
9427557095233,2.5809,0.8119,5.0690002,4.4450517,5.4314833,2.0853648,13.973856,32.79998,67.19754,58202,33.701805,35.912243,,,80,80,17329.009960065952,0.000059125727,20260313_174802
9427584950131,3.9379,0.7079,5.4505,4.331668,6.3001604,0.0275,1.325625,45.007965,67.089226,58484,33.701805,35.918705,,,80,80,17150.296675951606,0.00005770337,20260313_174802
9427612749576,5.8273997,1.3702999,3.1732,4.6860423,6.917956,0.029166,1.657084,43.981358,67.64251,57532,34.39925,35.910793,,,80,80,15317.08679010127,0.00005933945,20260313_174802
9427649886580,2.3097,1.7085,6.0001,4.076407,6.600139,0.028697,10.132866,27.472635,58.329044,56404,41.991047,35.90768,,,80,80,12044.295866132868,0.000068279034,20260313_174802
9427673005489,3.1996,1.0775001,4.8949003,4.417084,6.7493563,1.424948,2.225208,39.19193,63.180523,60477,41.184807,35.87716,,,80,80,10257.526905898168,0.00007990035,20260313_174802
9427691483476,9.5255995,1.8874,5.5271,4.621563,4.490214,0.016771,1.998438,30.48422,58.551304,60922,41.184807,71.98126,,,80,80,8526.637057743428,0.00010114322,20260313_174802
